날짜,시가,고가,저가,종가,거래량
2018-07-06,4500,4945,3665,3835,19850519.0
2018-07-09,3740,3975,3530,3575,5011943.0
2018-07-10,3760,3965,3620,3630,12164020.0
2018-07-11,3650,3695,3430,3455,4039976.0
2018-07-12,3455,3565,3345,3420,3725566.0
2018-07-13,3485,3525,3390,3400,1549848.0
2018-07-16,3380,3400,3120,3170,2426143.0
2018-07-17,3205,3285,3110,3120,2385574.0
2018-07-18,3175,3175,2970,2980,1721259.0
2018-07-19,3025,3030,2770,2815,2111526.0
2018-07-20,2800,2880,2740,2845,1331985.0
2018-07-23,2845,2890,2575,2580,1354453.0
2018-07-24,2555,2620,2500,2505,1267250.0
2018-07-25,2535,2725,2515,2585,2166786.0
2018-07-26,2575,2595,2525,2575,1108981.0
2018-07-27,2680,3075,2650,2885,10823897.0
2018-07-30,2850,2950,2845,2935,1289296.0
2018-07-31,2905,2940,2810,2900,1587037.0
2018-08-01,3080,3175,2825,2825,4384812.0
2018-08-02,2825,2835,2675,2710,1046264.0
2018-08-03,2740,2815,2695,2725,833893.0
2018-08-06,2725,2765,2695,2705,444927.0
2018-08-07,2695,2710,2595,2615,610610.0
2018-08-08,2620,2680,2600,2620,377254.0
2018-08-09,2650,2800,2605,2675,997297.0
2018-08-10,2670,2720,2615,2620,443800.0
2018-08-13,2655,2680,2585,2620,479826.0
2018-08-14,2605,2680,2600,2680,419197.0
2018-08-16,2655,2815,2610,2815,1195721.0
2018-08-17,2850,2925,2815,2840,1185687.0
2018-08-20,2960,3010,2825,2845,1886312.0
2018-08-21,2875,2890,2780,2805,1065654.0
2018-08-22,2865,2880,2775,2780,933518.0
2018-08-23,2800,2860,2765,2850,770690.0
2018-08-24,2865,2880,2785,2800,516960.0
2018-08-27,2810,2840,2765,2770,442583.0
2018-08-28,2800,2800,2675,2695,609260.0
2018-08-29,2695,2750,2680,2700,336920.0
2018-08-30,2725,2730,2680,2685,268896.0
2018-08-31,2685,2710,2645,2670,312083.0
2018-09-03,2665,2775,2660,2730,455887.0
2018-09-04,2745,2800,2730,2800,661870.0
2018-09-05,2830,2830,2730,2750,424517.0
2018-09-06,2770,2800,2695,2700,430492.0
2018-09-07,2720,2730,2585,2655,288583.0
2018-09-10,2655,2660,2605,2615,214351.0
2018-09-11,2635,2645,2600,2620,202256.0
2018-09-12,2640,2640,2575,2585,292896.0
2018-09-13,2620,2630,2595,2625,161047.0
2018-09-14,2615,2655,2600,2630,227583.0
2018-09-17,2635,2640,2575,2585,222881.0
2018-09-18,2575,2655,2575,2655,315192.0
2018-09-19,2670,3060,2660,2705,5709500.0
2018-09-20,2740,2875,2730,2780,1408937.0
2018-09-21,2800,2825,2720,2760,362558.0
2018-09-27,2785,2795,2700,2710,347975.0
2018-09-28,2735,2885,2730,2820,1559641.0
2018-10-01,2800,2945,2785,2910,1229376.0
2018-10-02,2910,2970,2815,2825,821102.0
2018-10-04,2825,2825,2665,2700,405943.0
2018-10-05,2650,2730,2605,2625,294605.0
2018-10-08,2570,2665,2570,2590,168022.0
2018-10-10,2570,2615,2480,2480,428147.0
2018-10-11,2275,2387,2170,2185,615389.0
2018-10-12,2140,2245,2140,2178,365734.0
2018-10-15,2175,2200,2105,2105,237221.0
2018-10-16,2112,2185,2112,2145,193721.0
2018-10-17,2200,2207,2157,2170,124367.0
2018-10-18,2160,2237,2160,2198,148928.0
2018-10-19,2165,2205,2145,2188,153161.0
2018-10-22,2187,2187,2115,2150,119820.0
2018-10-23,2135,2167,2072,2085,207658.0
2018-10-24,2092,2107,1962,1963,261744.0
2018-10-25,1860,1927,1820,1840,286935.0
2018-10-26,1840,1890,1670,1778,282011.0
2018-10-29,1757,1792,1550,1550,306194.0
2018-10-30,1467,1620,1467,1575,349971.0
2018-10-31,1600,1655,1572,1650,223970.0
2018-11-01,1652,1725,1650,1665,191455.0
2018-11-02,1682,1760,1682,1750,197158.0
2018-11-05,1750,1817,1717,1790,159762.0
2018-11-06,1790,1820,1760,1793,92097.0
2018-11-07,1797,1832,1732,1743,146281.0
2018-11-08,1795,1797,1752,1770,90843.0
2018-11-09,1770,1792,1730,1735,109775.0
2018-11-12,1735,1757,1700,1753,108218.0
2018-11-13,1715,1742,1680,1713,107972.0
2018-11-14,1700,1780,1687,1743,98903.0
2018-11-15,1742,1750,1695,1720,118262.0
2018-11-16,1732,1785,1732,1770,128080.0
2018-11-19,1795,2300,1795,2218,8412699.0
2018-11-20,2170,2282,2132,2188,2145265.0
2018-11-21,2185,2185,2030,2083,927066.0
2018-11-22,2075,2545,2060,2373,10555017.0
2018-11-23,2352,2380,2225,2225,1935931.0
2018-11-26,2210,2430,2072,2115,5254530.0
2018-11-27,2150,2212,2095,2135,1204573.0
2018-11-28,2117,2232,2117,2200,1089460.0
2018-11-29,2222,2225,2147,2155,548412.0
2018-11-30,2160,2182,2072,2093,592509.0
2018-12-03,2100,2130,2052,2113,409834.0
2018-12-04,2120,2125,2072,2073,289557.0
2018-12-05,2042,2072,2010,2055,313040.0
2018-12-06,2032,2215,2030,2135,1805947.0
2018-12-07,2162,2200,2095,2120,598298.0
2018-12-10,2125,2142,1967,1978,429212.0
2018-12-11,1977,1995,1830,1830,482549.0
2018-12-12,1835,1890,1830,1855,273234.0
2018-12-13,1850,1917,1847,1880,180685.0
2018-12-14,1887,1887,1817,1840,193983.0
2018-12-17,1855,1860,1770,1793,159385.0
2018-12-18,1790,1895,1775,1803,414469.0
2018-12-19,1810,1817,1785,1795,143452.0
2018-12-20,1795,1815,1767,1783,146995.0
2018-12-21,1770,1835,1720,1735,202536.0
2018-12-24,1737,1737,1702,1710,143792.0
2018-12-26,1675,1680,1600,1635,182647.0
2018-12-27,1652,1737,1652,1683,189599.0
2018-12-28,1685,1722,1685,1715,121750.0
2019-01-02,1725,1790,1717,1768,271016.0
2019-01-03,1752,1760,1725,1735,159707.0
2019-01-04,1735,1780,1722,1735,139251.0
2019-01-07,1742,1775,1740,1745,225139.0
2019-01-08,1760,1772,1720,1750,173480.0
2019-01-09,1765,1765,1725,1753,164227.0
2019-01-10,1755,2112,1730,1950,4732201.0
2019-01-11,1892,1935,1875,1908,1005020.0
2019-01-14,1925,2017,1917,1950,1685228.0
2019-01-15,1940,2010,1917,1995,826593.0
2019-01-16,2020,2020,1937,1988,408038.0
2019-01-17,1965,1997,1937,1938,226451.0
2019-01-18,1912,1947,1887,1938,267726.0
2019-01-21,1937,1975,1930,1943,219094.0
2019-01-22,1950,1970,1900,1918,177493.0
2019-01-23,1910,1927,1892,1910,148411.0
2019-01-24,1910,1930,1870,1895,210329.0
2019-01-25,1922,1980,1895,1965,575821.0
2019-01-28,1987,1987,1937,1965,251559.0
2019-01-29,1965,1970,1910,1925,187168.0
2019-01-30,1927,1935,1900,1925,111972.0
2019-01-31,1932,1972,1915,1955,345518.0
2019-02-01,1955,1987,1832,1880,538525.0
2019-02-07,1877,1880,1802,1833,240153.0
2019-02-08,1830,1847,1820,1833,116134.0
2019-02-11,1832,1842,1815,1835,97691.0
2019-02-12,1837,1860,1830,1860,113452.0
2019-02-13,1860,1907,1850,1900,324753.0
2019-02-14,1910,1917,1887,1918,216291.0
2019-02-15,1920,1940,1900,1930,226800.0
2019-02-18,1932,1982,1922,1983,334098.0
2019-02-19,1995,1997,1950,1993,310097.0
2019-02-20,1990,2037,1967,2035,367448.0
2019-02-21,2052,2052,1990,2020,398194.0
2019-02-22,2047,2060,1932,1960,381738.0
2019-02-25,1960,2022,1952,1985,283751.0
