날짜,시가,고가,저가,종가,거래량
2021-12-15,10025,10025,9680,9940,234414.0
2021-12-16,10175,10570,10175,10415,153921.0
2021-12-17,10465,10465,10170,10350,122444.0
2021-12-20,10355,10355,9515,9585,335457.0
2021-12-21,9530,9530,8990,9375,223749.0
2021-12-22,9420,9520,9035,9075,184265.0
2021-12-23,9180,9375,9170,9345,139269.0
2021-12-27,9455,9590,9340,9340,52299.0
2021-12-28,9460,9700,9370,9650,182743.0
2021-12-29,9635,10085,9625,10050,71763.0
2021-12-30,9980,10020,9670,9885,347469.0
2022-01-03,9970,10260,9825,9850,70291.0
2022-01-04,10025,10160,9965,10140,96142.0
2022-01-05,10030,10095,9835,9915,272978.0
2022-01-06,9745,10075,9655,9800,206086.0
2022-01-07,10025,10225,9965,10070,180612.0
2022-01-10,10050,10085,9640,9750,63137.0
2022-01-11,9750,9870,9495,9745,26977.0
2022-01-12,9900,10900,9900,10850,144582.0
2022-01-13,11135,11135,10685,10830,93149.0
2022-01-14,11080,11080,10285,10350,75625.0
2022-01-17,10355,10625,10090,10190,81217.0
2022-01-18,10295,10795,10215,10520,118370.0
2022-01-19,10450,10500,9680,9845,144384.0
2022-01-20,9680,10585,9605,10585,140342.0
2022-01-21,10480,10480,9880,10100,131036.0
2022-01-24,9875,9925,9440,9700,127795.0
2022-01-25,9600,9625,8685,8685,261973.0
2022-01-26,8805,9120,8620,8675,78406.0
2022-01-27,8995,8995,7465,7480,380997.0
2022-01-28,7465,7620,6850,7620,285859.0
2022-02-03,8130,8170,7855,7890,143981.0
2022-02-04,7715,8135,7715,8125,76323.0
2022-02-07,8125,8125,7660,7710,123578.0
2022-02-08,7715,7810,7245,7295,226640.0
2022-02-09,7435,7530,7360,7460,101798.0
2022-02-10,7580,7710,7495,7600,87142.0
2022-02-11,7360,7440,7000,7250,114073.0
2022-02-14,6980,7100,6805,6895,102026.0
2022-02-15,6950,7145,6805,6845,170704.0
2022-02-16,7210,7345,7180,7300,137036.0
